"Question Number","Question"
"1.1","The opportunities & challenges of asset tokenisation in wholesale markets"
"1.2","The settlement model(s) explored and the benefits, limitations and trade-offs associated with them"
"1.3","The capabilities or attributes that central bank and/or privately issued money would need to have to realise the potential of tokenisation in wholesale markets"
"2.1.1","What did you learn through your experimentation about the business problem(s) that you set out to explore in your use case?"
"2.1.2","Did your experimentation confirm or change your view about whether and how the business problem(s) can be solved?"
"2.1.3","Did your experimentation reveal any business problems not initially considered?"
"2.2.1","What evidence did your experimentation provide about the costs and benefits involved in solving the business problem(s) that you set out to explore?"
"2.2.2","How did your experimentation demonstrate one or more of: risk reduction, capital efficiency, increased liquidity (e.g. in trading the asset), operational efficiency (e.g. automation), new markets, products or services?"
"2.2.3","What is your estimate of the costs and benefits (this might be at firm-level or industry-wide)?"
"2.2.4","What new costs (e.g. increased liquidity requirements from pre-funding) or risks (e.g. operational risks, outsourcing management, conflicts of interest) might arise?"
"2.3.1","Did your experimentation confirm or change your view about the suitability of the settlement asset (and, if relevant, interchange asset) that was used?"
"2.3.2","How, if at all, did the settlement or interchange asset contribute to solving the business problem(s) that you explored and the benefits obtained?"
"2.3.3","Did you encounter any technical or operational limitations with the settlement or interchange asset?"
"2.3.4","What evidence did your experimentation provide about the scalability of the settlement model?"
"2.4.1","What key enablers or blockers of broader adoption did your experimentation highlight or reveal?"
"2.4.2","If you utilised or simulated existing settlement infrastructure (e.g. NPP or RITS) as part of your use case, what did your experimentation reveal about changes or enhancements to that infrastructure (or supporting account structures or access policies) that may be required to better support tokenised asset markets?"
"3.1.1","What major design choices were you faced with in the project, and how did you resolve them?"
"3.1.2","To what extent were your design choices driven by the scale and nature of the pilot project?"
"3.1.3","Were your design choices validated by your experimentation?"
"3.1.4","How, if at all, would you change your design choices if you were to start over?"
"3.1.5","What were the most resource-intensive or problematic aspects of your design to implement as part of the project, and why?"
"3.2.1","What were your key motivations for your choice of blockchain network?"
"3.2.2","How did the public or private, permissioned or permissionless nature of the network factor into your decision?"
"3.2.3","What legal, regulatory, governance or other challenges (if any) did you experience or do you anticipate with future use of the selected network?"
"3.2.4","If relevant, what additional research benefits could your use case have generated if it was executed on a public permissionless network?"
"3.2.5","What barriers (if any) may prevent you from using a public permissionless network for your use case?"
"3.3.1","What did you learn through your experimentation about automation (e.g. smart contracts, automated, conditional payments) beyond straight through processing?"
"3.3.2","Was the level of automation or programmability achieved in your use case affected by the chosen settlement asset or settlement model?"
"3.3.3","How did you ensure compliance and auditability given the automation and programmability in your use case?"
"3.4.1","What interoperability challenges (e.g. between tokenised asset systems and settlement systems) did you face in the project and how did you overcome them?"
"3.4.2","What principles guided you to the outcomes achieved, and what did you learn?"
"3.4.3","If your use case involved using data oracles, interoperability bridges or any other similar smart contract arrangements that were dependent on external systems, what technical, operational, regulatory or other risks did you identify with those arrangements and how did you mitigate those risks?"
"3.5.1","What latency and throughput results did you observe in your experimentation and how did they compare to your expectations?"
