eip,title,status,created,finalized,path,history_note
1046,tokenURI Interoperability,Final,2018-04-13,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-1046.md,only one commit available
1155,Multi Token Standard,Final,2018-06-17,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-1155.md,only one commit available
1167,Minimal Proxy Contract,Final,2018-06-22,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-1167.md,only one commit available
1271,Standard Signature Validation Method for Contracts,Final,2018-07-25,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-1271.md,only one commit available
1328,WalletConnect URI Format,Final,2018-08-15,,/Users/mac/PhD/sim/ERCs/ERCS/erc-1328.md,only one commit available
1363,Payable Token,Final,2018-08-30,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-1363.md,only one commit available
137,Ethereum Domain Name Service - Specification,Final,2016-04-04,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-137.md,only one commit available
162,Initial ENS Hash Registrar,Final,2016-10-25,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-162.md,only one commit available
165,Standard Interface Detection,Final,2018-01-23,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-165.md,only one commit available
173,Contract Ownership Standard,Final,2018-06-07,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-173.md,only one commit available
181,ENS support for reverse resolution of Ethereum addresses,Final,2016-12-01,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-181.md,only one commit available
1820,Pseudo-introspection Registry Contract,Final,2019-03-04,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-1820.md,only one commit available
190,Ethereum Smart Contract Packaging Standard,Final,2017-01-10,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-190.md,only one commit available
191,Signed Data Standard,Final,2016-01-20,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-191.md,only one commit available
1967,Proxy Storage Slots,Final,2019-04-24,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-1967.md,only one commit available
20,Token Standard,Final,2015-11-19,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-20.md,only one commit available
2098,Compact Signature Representation,Final,2019-03-14,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-2098.md,only one commit available
2135,Consumable Interface (Tickets  etc),Final,2019-06-23,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-2135.md,only one commit available
223,Token with transaction handling model,Final,2017-05-03,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-223.md,only one commit available
2309,ERC-721 Consecutive Transfer Extension,Final,2019-10-08,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-2309.md,only one commit available
2535,Diamonds  Multi-Facet Proxy,Final,2020-02-22,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-2535.md,only one commit available
2612,Permit Extension for EIP-20 Signed Approvals,Final,2020-04-13,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-2612.md,only one commit available
2678,Revised Ethereum Smart Contract Packaging Standard (EthPM v3),Final,2020-05-26,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-2678.md,only one commit available
2771,Secure Protocol for Native Meta Transactions,Final,2020-07-01,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-2771.md,only one commit available
2981,NFT Royalty Standard,Final,2020-09-15,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-2981.md,only one commit available
3156,Flash Loans,Final,2020-11-15,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-3156.md,only one commit available
3448,MetaProxy Standard,Final,2021-03-29,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-3448.md,only one commit available
3475,Abstract Storage Bonds,Final,2021-04-05,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-3475.md,only one commit available
3525,Semi-Fungible Token,Final,2020-12-01,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-3525.md,only one commit available
3643,T-REX - Token for Regulated EXchanges,Final,2021-07-09,,/Users/mac/PhD/sim/ERCs/ERCS/erc-3643.md,only one commit available
3668,CCIP Read—Secure offchain data retrieval,Final,2020-07-19,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-3668.md,only one commit available
4361,Sign-In with Ethereum,Final,2021-10-11,,/Users/mac/PhD/sim/ERCs/ERCS/erc-4361.md,only one commit available
4400,EIP-721 Consumable Extension,Final,2021-10-30,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-4400.md,only one commit available
4519,Non-Fungible Tokens Tied to Physical Assets,Final,2021-12-03,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-4519.md,only one commit available
4626,Tokenized Vaults,Final,2021-12-22,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-4626.md,only one commit available
